1528, 971, 661
1529, 971, 658
1530, 970, 659
1531, 969, 655
1532, 969, 655
1533, 971, 665
1534, 971, 657
1535, 971, 665
1536, 971, 664
1537, 972, 663
1538, 972, 662
1539, 972, 661
1540, 971, 661
1541, 969, 662
1542, 970, 667
1543, 971, 671
1544, 969, 660
1545, 969, 656
1546, 970, 663
1547, 968, 662
1548, 968, 658
1549, 969, 659
1550, 970, 662
1551, 970, 662
1552, 971, 690
